,name,population_amount
0,James,4924235.0
1,John,4818746.0
2,Robert,4703680.0
3,Michael,4280040.0
4,William,3811998.0
0,Mary,3728041.0
5,David,3541625.0
6,Richard,2526927.0
7,Joseph,2467298.0
8,Charles,2237170.0
9,Thomas,2209169.0
10,Christopher,1980717.0
11,Daniel,1838509.0
1,Patricia,1567405.0
12,Matthew,1535407.0
2,Elizabeth,1490772.0
3,Jennifer,1460272.0
4,Linda,1445838.0
5,Barbara,1422631.0
13,Donald,1400589.0
14,Anthony,1381676.0
15,Paul,1353757.0
16,Mark,1337534.0
17,George,1316531.0
18,Steven,1267733.0
19,Kenneth,1258091.0
20,Andrew,1226185.0
21,Edward,1208595.0
22,Joshua,1160468.0
23,Brian,1154168.0
24,Kevin,1146126.0
6,Margaret,1120006.0
7,Susan,1107916.0
25,Ronald,1072932.0
26,Timothy,1054028.0
8,Dorothy,1051262.0
9,Jessica,1036257.0
10,Sarah,1006050.0
27,Jason,1005966.0
11,Betty,983791.0
12,Nancy,983374.0
13,Karen,981409.0
28,Jeffrey,967716.0
14,Lisa,961678.0
29,Gary,895996.0
15,Helen,894826.0
30,Ryan,889757.0
16,Sandra,870181.0
31,Nicholas,865895.0
32,Eric,860028.0
33,Jacob,847905.0
34,Stephen,844209.0
17,Ashley,830106.0
18,Donna,826361.0
19,Kimberly,824429.0
35,Frank,816936.0
20,Carol,811954.0
36,Jonathan,802025.0
21,Michelle,801645.0
37,Larry,800400.0
22,Emily,779413.0
23,Amanda,768465.0
38,Scott,765014.0
39,Justin,755211.0
24,Laura,745290.0
25,Melissa,744479.0
40,Raymond,743506.0
26,Deborah,735472.0
41,Brandon,733556.0
27,Stephanie,731654.0
28,Rebecca,728484.0
29,Ruth,728315.0
30,Anna,719411.0
31,Sharon,718112.0
32,Kathleen,702969.0
33,Cynthia,702577.0
42,Gregory,700633.0
43,Samuel,681058.0
34,Shirley,679653.0
35,Amy,672802.0
44,Benjamin,663857.0
45,Patrick,654858.0
36,Angela,653194.0
46,Jack,633610.0
37,Virginia,621243.0
47,Dennis,610508.0
38,Catherine,605850.0
48,Jerry,604287.0
39,Brenda,603563.0
49,Alexander,596539.0
40,Katherine,593004.0
41,Pamela,591193.0
42,Nicole,576131.0
43,Christine,573761.0
50,Henry,570142.0
51,Tyler,562300.0
52,Walter,557213.0
53,Peter,553422.0
54,Douglas,552582.0
44,Janet,550385.0
45,Samantha,548181.0
46,Debra,547670.0
47,Carolyn,547665.0
48,Rachel,544826.0
55,Aaron,541626.0
56,Jose,533509.0
49,Frances,529027.0
57,Harold,524787.0
58,Adam,523320.0
50,Heather,521581.0
51,Maria,521058.0
52,Diane,514742.0
59,Zachary,511480.0
60,Nathan,503753.0
53,Joyce,502329.0
54,Julie,501917.0
55,Evelyn,496320.0
56,Emma,492653.0
57,Martha,490102.0
61,Carl,476806.0
58,Joan,475496.0
62,Arthur,472842.0
59,Alice,467668.0
60,Kelly,467047.0
63,Kyle,466929.0
61,Christina,466156.0
62,Marie,461275.0
63,Lauren,454889.0
64,Ann,449173.0
65,Doris,448027.0
66,Victoria,447472.0
67,Judith,446749.0
68,Jean,445898.0
64,Gerald,441420.0
65,Albert,439947.0
66,Lawrence,438801.0
69,Cheryl,436702.0
67,Roger,433889.0
70,Megan,431868.0
